feature_name,summary_value
Xc_mean_0,71.21277
Xc_mean_1,0.45212767
Xc_mean_2,16.271276
Xc_mean_3,0.57712764
Xc_mean_4,28.085106
Xc_mean_5,14.527554
Xc_mean_6,1.4281915
Xc_mean_7,2.5718086
Xc_std_0,7.4048905
Xc_std_1,0.49770397
Xc_std_2,2.606422
Xc_std_3,0.6719371
Xc_std_4,1.6847863
Xc_std_5,6.5046635
Xc_std_6,0.8873548
Xc_std_7,3.7685935
yc_mean,0.17021276
yc_std,0.3758206
log_nc,5.9322453
Xe_mean_0,74.62908
Xe_mean_1,0.3620178
Xe_mean_2,15.780416
Xe_mean_3,0.6646884
Xe_mean_4,27.065283
Xe_mean_5,18.402493
Xe_mean_6,1.5905044
Xe_mean_7,3.7744808
Xe_std_0,7.2248006
Xe_std_1,0.48058492
Xe_std_2,2.950508
Xe_std_3,0.68712246
Xe_std_4,1.7453328
Xe_std_5,6.450128
Xe_std_6,0.8817137
Xe_std_7,4.3724465
ye_mean,0.3768546
ye_std,0.484599
log_ne,5.8230457
Xdiff_mean_0,-3.4163141
Xdiff_mean_1,0.090109855
Xdiff_mean_2,0.49086118
Xdiff_mean_3,-0.087560765
Xdiff_mean_4,1.0198245
Xdiff_mean_5,-3.8749394
Xdiff_mean_6,-0.16231295
Xdiff_mean_7,-1.2026722
Xdiff_std_0,0.18008997
Xdiff_std_1,0.017119033
Xdiff_std_2,-0.34408608
Xdiff_std_3,-0.015185338
Xdiff_std_4,-0.06054656
Xdiff_std_5,0.054535203
Xdiff_std_6,0.0056410977
Xdiff_std_7,-0.603853
ydiff_mean,-0.20664184
n_ratio,1.115727
