Nc,scenario,method,Bias,RMSE,Power,n_valid
50,sc1,Commensurate,0.0026,0.1045,1.0,50
50,sc1,IW,-0.0143,0.1244,1.0,50
50,sc1,JSD-NPE,0.121,0.2103,1.0,50
50,sc1,KL+KS-NPE,0.1347,0.2541,1.0,50
50,sc1,KL-NPE,0.0396,0.1913,1.0,50
50,sc1,NPE,0.1505,0.2336,1.0,50
50,sc1,OT-NPE,0.0945,0.2302,1.0,50
50,sc1,PSPower,0.0014,0.1048,1.0,50
50,sc2,Commensurate,-0.0071,0.1227,1.0,50
50,sc2,IW,0.002,0.1376,1.0,50
50,sc2,JSD-NPE,-0.0172,0.2213,0.86,50
50,sc2,KL+KS-NPE,0.0129,0.2243,0.98,50
50,sc2,KL-NPE,-0.0274,0.2326,0.96,50
50,sc2,NPE,-0.061,0.2431,0.86,50
50,sc2,OT-NPE,-0.061,0.233,0.96,50
50,sc2,PSPower,0.003,0.1313,1.0,50
50,sc3,Commensurate,1.0821,1.0927,1.0,50
50,sc3,IW,0.878,0.8891,1.0,50
50,sc3,JSD-NPE,0.2031,0.2894,1.0,50
50,sc3,KL+KS-NPE,0.1508,0.2727,1.0,50
50,sc3,KL-NPE,0.0585,0.2634,1.0,50
50,sc3,NPE,0.1996,0.2814,1.0,50
50,sc3,OT-NPE,0.1606,0.2827,1.0,50
50,sc3,PSPower,1.1414,1.1472,1.0,50
50,sc4,Commensurate,0.0004,0.1614,1.0,50
50,sc4,IW,-0.0024,0.1689,1.0,50
50,sc4,JSD-NPE,0.0108,0.2118,0.92,50
50,sc4,KL+KS-NPE,0.0023,0.2496,0.96,50
50,sc4,KL-NPE,-0.0528,0.2669,0.9,50
50,sc4,NPE,-0.0359,0.2816,0.9,50
50,sc4,OT-NPE,-0.0578,0.2458,0.92,50
50,sc4,PSPower,-0.0006,0.1774,1.0,50
50,sc5,Commensurate,1.081,1.088,1.0,50
50,sc5,IW,0.8813,0.8907,1.0,50
50,sc5,JSD-NPE,0.1567,0.2317,1.0,50
50,sc5,KL+KS-NPE,0.1011,0.2119,1.0,50
50,sc5,KL-NPE,0.0099,0.1931,1.0,50
50,sc5,NPE,0.1349,0.2253,1.0,50
50,sc5,OT-NPE,0.0804,0.1887,1.0,50
50,sc5,PSPower,1.1407,1.1446,1.0,50
50,sc6,Commensurate,0.4577,0.4924,1.0,50
50,sc6,IW,0.2308,0.2968,1.0,50
50,sc6,JSD-NPE,-0.0581,0.2447,0.9,50
50,sc6,KL+KS-NPE,-0.1886,0.2853,0.96,50
50,sc6,KL-NPE,-0.122,0.2722,0.86,50
50,sc6,NPE,-0.1426,0.2803,0.86,50
50,sc6,OT-NPE,-0.1595,0.2555,0.92,50
50,sc6,PSPower,0.531,0.5549,1.0,50
100,sc1,Commensurate,-0.0048,0.1061,1.0,50
100,sc1,IW,-0.0005,0.1347,1.0,50
100,sc1,JSD-NPE,0.1569,0.2239,1.0,50
100,sc1,KL+KS-NPE,0.1345,0.2104,1.0,50
100,sc1,KL-NPE,0.0578,0.1704,0.98,50
100,sc1,NPE,0.1825,0.2417,0.98,50
100,sc1,OT-NPE,0.0839,0.1726,0.98,50
100,sc1,PSPower,-0.004,0.1074,1.0,50
100,sc2,Commensurate,0.0037,0.121,1.0,50
100,sc2,IW,0.0075,0.1366,1.0,50
100,sc2,JSD-NPE,-0.0463,0.1675,0.96,50
100,sc2,KL+KS-NPE,-0.0016,0.1864,1.0,50
100,sc2,KL-NPE,-0.092,0.2144,0.92,50
100,sc2,NPE,-0.0481,0.2115,0.92,50
100,sc2,OT-NPE,-0.0733,0.1791,0.96,50
100,sc2,PSPower,0.0057,0.138,1.0,50
100,sc3,Commensurate,0.8198,0.8353,1.0,50
100,sc3,IW,0.6218,0.6344,1.0,50
100,sc3,JSD-NPE,0.1769,0.2498,1.0,50
100,sc3,KL+KS-NPE,0.0964,0.2037,1.0,50
100,sc3,KL-NPE,0.0242,0.1905,0.98,50
100,sc3,NPE,0.132,0.2223,1.0,50
100,sc3,OT-NPE,0.0757,0.2013,1.0,50
100,sc3,PSPower,0.923,0.9283,1.0,50
100,sc4,Commensurate,-0.013,0.1089,1.0,50
100,sc4,IW,-0.0175,0.1174,1.0,50
100,sc4,JSD-NPE,-0.0978,0.1762,0.94,50
100,sc4,KL+KS-NPE,-0.0419,0.1515,1.0,50
100,sc4,KL-NPE,-0.1244,0.208,0.96,50
100,sc4,NPE,-0.0927,0.1951,0.96,50
100,sc4,OT-NPE,-0.0924,0.1707,1.0,50
100,sc4,PSPower,-0.016,0.1129,1.0,50
100,sc5,Commensurate,0.8387,0.8514,1.0,50
100,sc5,IW,0.6465,0.6563,1.0,50
100,sc5,JSD-NPE,0.188,0.2474,1.0,50
100,sc5,KL+KS-NPE,0.1278,0.1923,1.0,50
100,sc5,KL-NPE,0.0353,0.1644,1.0,50
100,sc5,NPE,0.1483,0.2205,1.0,50
100,sc5,OT-NPE,0.132,0.351,1.0,50
100,sc5,PSPower,0.9547,0.9596,1.0,50
100,sc6,Commensurate,0.2216,0.2822,1.0,50
100,sc6,IW,0.0954,0.1837,1.0,50
100,sc6,JSD-NPE,-0.1121,0.1647,1.0,50
100,sc6,KL+KS-NPE,-0.1166,0.1811,1.0,50
100,sc6,KL-NPE,-0.0467,0.156,1.0,50
100,sc6,NPE,-0.1191,0.1907,0.96,50
100,sc6,OT-NPE,-0.0865,0.1605,0.98,50
100,sc6,PSPower,0.3314,0.3709,1.0,50
