Nc,scenario,method,Bias,RMSE,Power,n_valid
50,sc1,Commensurate,0.0183,0.1236,1.0,50
50,sc1,IW,0.0365,0.1309,1.0,50
50,sc1,KL-NPE,0.151,0.2856,0.94,50
50,sc1,NPE,0.1635,0.2634,0.94,50
50,sc1,OT-NPE,0.1786,0.2978,0.98,50
50,sc1,PSPower,0.0187,0.1264,1.0,50
50,sc2,Commensurate,-0.016,0.1463,1.0,50
50,sc2,IW,-0.0223,0.1505,1.0,50
50,sc2,KL-NPE,0.0433,0.2051,1.0,50
50,sc2,NPE,0.0715,0.2216,0.98,50
50,sc2,OT-NPE,0.135,0.2785,0.98,50
50,sc2,PSPower,-0.0127,0.1486,1.0,50
50,sc3,Commensurate,1.1018,1.1093,1.0,50
50,sc3,IW,0.9306,0.9369,1.0,50
50,sc3,KL-NPE,0.167,0.2651,1.0,50
50,sc3,NPE,0.136,0.2497,0.94,50
50,sc3,OT-NPE,0.1181,0.2327,1.0,50
50,sc3,PSPower,1.1655,1.1694,1.0,50
50,sc4,Commensurate,0.0347,0.163,1.0,50
50,sc4,IW,0.0394,0.1697,1.0,50
50,sc4,KL-NPE,0.0602,0.216,0.98,50
50,sc4,NPE,0.0992,0.2223,0.98,50
50,sc4,OT-NPE,0.1431,0.2618,0.94,50
50,sc4,PSPower,0.0428,0.1582,1.0,50
50,sc5,Commensurate,1.1398,1.1488,1.0,50
50,sc5,IW,0.981,0.9915,1.0,50
50,sc5,KL-NPE,0.2359,0.3323,1.0,50
50,sc5,NPE,0.1811,0.2906,0.98,50
50,sc5,OT-NPE,0.1796,0.3042,1.0,50
50,sc5,PSPower,1.1937,1.1994,1.0,50
50,sc6,Commensurate,0.4765,0.5107,1.0,50
50,sc6,IW,0.2521,0.3167,1.0,50
50,sc6,KL-NPE,0.227,0.2995,1.0,50
50,sc6,NPE,0.2273,0.2934,1.0,50
50,sc6,OT-NPE,0.2562,0.3378,1.0,50
50,sc6,PSPower,0.562,0.5947,1.0,50
100,sc1,Commensurate,0.0182,0.1059,1.0,50
100,sc1,IW,0.0238,0.1205,1.0,50
100,sc1,KL-NPE,0.1239,0.2138,0.98,50
100,sc1,NPE,0.09,0.1723,1.0,50
100,sc1,OT-NPE,0.0954,0.2,1.0,50
100,sc1,PSPower,0.018,0.1063,1.0,50
100,sc2,Commensurate,0.0081,0.1195,1.0,50
100,sc2,IW,0.0044,0.1422,1.0,50
100,sc2,KL-NPE,-0.0201,0.163,1.0,50
100,sc2,NPE,0.0013,0.1656,0.94,50
100,sc2,OT-NPE,0.109,0.2204,1.0,50
100,sc2,PSPower,0.0033,0.1261,1.0,50
100,sc3,Commensurate,0.8586,0.8714,1.0,50
100,sc3,IW,0.6597,0.6701,1.0,50
100,sc3,KL-NPE,0.1227,0.201,1.0,50
100,sc3,NPE,0.1125,0.1727,1.0,50
100,sc3,OT-NPE,0.0867,0.1833,1.0,50
100,sc3,PSPower,0.9587,0.9651,1.0,50
100,sc4,Commensurate,0.0048,0.1497,1.0,50
100,sc4,IW,0.0013,0.1552,1.0,50
100,sc4,KL-NPE,-0.0623,0.1875,0.98,50
100,sc4,NPE,-0.0141,0.1878,0.92,50
100,sc4,OT-NPE,0.0909,0.2294,0.96,50
100,sc4,PSPower,0.0125,0.1576,1.0,50
100,sc5,Commensurate,0.8565,0.871,1.0,50
100,sc5,IW,0.6557,0.6681,1.0,50
100,sc5,KL-NPE,0.1078,0.1894,1.0,50
100,sc5,NPE,0.0832,0.1657,1.0,50
100,sc5,OT-NPE,0.0528,0.1767,1.0,50
100,sc5,PSPower,0.9547,0.9597,1.0,50
100,sc6,Commensurate,0.2075,0.2633,1.0,50
100,sc6,IW,0.0733,0.1672,1.0,50
100,sc6,KL-NPE,0.0725,0.175,1.0,50
100,sc6,NPE,0.1028,0.1729,1.0,50
100,sc6,OT-NPE,0.1553,0.2301,1.0,50
100,sc6,PSPower,0.322,0.3593,1.0,50
