method,Nc,scenario,n_runs,success_rate,mean_fit_time_sec,median_fit_time_sec,sd_fit_time_sec
Commensurate,50,sc1,50,1.0,1.0819373774200023,1.0799219899999883,0.03262075405609866
Commensurate,50,sc2,50,1.0,1.0715259282000034,1.066781458500003,0.0327349694522517
Commensurate,50,sc3,50,1.0,1.0631044816399982,1.0616411279999625,0.03199706743014153
Commensurate,50,sc4,50,1.0,1.0661842088400022,1.062411644000008,0.031637986449818176
Commensurate,50,sc5,50,1.0,1.068770678059998,1.061611508999988,0.030132939407385633
Commensurate,50,sc6,50,1.0,1.081609558060003,1.0780254839999657,0.033440638527926905
Commensurate,100,sc1,50,1.0,1.0722243341600142,1.0589003695000088,0.04063582152049542
Commensurate,100,sc2,50,1.0,1.0830819894599972,1.077394606499979,0.030530159612777625
Commensurate,100,sc3,50,1.0,1.0675444194999977,1.0629319065000118,0.035581696091328816
Commensurate,100,sc4,50,1.0,1.0876735631000065,1.0813298169999825,0.030939278174868533
Commensurate,100,sc5,50,1.0,1.0704543935399897,1.0641122994999819,0.027118969725427048
Commensurate,100,sc6,50,1.0,1.076728307559995,1.0706668130000025,0.028456294016967067
IW,50,sc1,50,1.0,0.0012734175400015602,0.0010337119999945799,0.0010210348930190223
IW,50,sc2,50,1.0,0.0014957893599932958,0.0010158554999861735,0.001404990676127957
IW,50,sc3,50,1.0,0.0016189292799992927,0.001033748999986983,0.0014826979658911334
IW,50,sc4,50,1.0,0.0011636778799925195,0.0010546614999782378,0.0005834017466560386
IW,50,sc5,50,1.0,0.001034146179996469,0.0010319935000211444,6.467663657951079e-05
IW,50,sc6,50,1.0,0.0011688535799930832,0.0010636219999469176,0.0005799050894069289
IW,100,sc1,50,1.0,0.0010368980600037503,0.0010270214999650307,6.804726206273948e-05
IW,100,sc2,50,1.0,0.001425525239999388,0.001087218500003928,0.0009628729791958181
IW,100,sc3,50,1.0,0.0010723340999970786,0.0010167519999981778,0.0004144693380821998
IW,100,sc4,50,1.0,0.001138838280003256,0.0010422349999998914,0.00045997629343837545
IW,100,sc5,50,1.0,0.0010340454999891336,0.0010344594999764922,5.7255673145500644e-05
IW,100,sc6,50,1.0,0.001198028719988997,0.0010746844999971472,0.0006713948220703218
NPE,50,sc1,50,1.0,0.012746377639999196,0.012325793999977463,0.003563956958153799
NPE,50,sc2,50,1.0,0.012921477219999816,0.01238729399997851,0.0031783055572991263
NPE,50,sc3,50,1.0,0.01247766834000231,0.01201641250000307,0.003978197395525587
NPE,50,sc4,50,1.0,0.012960277839998752,0.012962592999997469,0.0020845465260291565
NPE,50,sc5,50,1.0,0.011306922400002577,0.010415831500012018,0.0022463579552689248
NPE,50,sc6,50,1.0,0.012444358500004,0.012632390000021587,0.0028077125098977937
NPE,100,sc1,50,1.0,0.009539877600002456,0.009970167000005858,0.0019440658118502982
NPE,100,sc2,50,1.0,0.01333751012000448,0.013405948500064824,0.0031013943789910477
NPE,100,sc3,50,1.0,0.009575191960002484,0.009834862499985775,0.0022305703095532995
NPE,100,sc4,50,1.0,0.013010822200003531,0.01298488550003185,0.0021822932477213145
NPE,100,sc5,50,1.0,0.010126796419999664,0.0101505454999824,0.0025038781682348256
NPE,100,sc6,50,1.0,0.013464098519993967,0.013533889500024543,0.0032290547701241874
PSPower,50,sc1,50,1.0,0.00968785755999761,0.008363823500005196,0.006583793110389099
PSPower,50,sc2,50,1.0,0.009475357259997281,0.00761287800000332,0.0044068706224246875
PSPower,50,sc3,50,1.0,0.012624500439997063,0.011757093499994653,0.006780118701003366
PSPower,50,sc4,50,1.0,0.007812769119997256,0.006020734500026492,0.0038024029162949005
PSPower,50,sc5,50,1.0,0.008841205300000184,0.006440309499993191,0.005085674257519339
PSPower,50,sc6,50,1.0,0.008962514000007787,0.008089545500013173,0.0035725683185476283
PSPower,100,sc1,50,1.0,0.006131289839997862,0.0055347024999719,0.0015305572846999091
PSPower,100,sc2,50,1.0,0.009033008519988926,0.007718022999995355,0.00432628556035792
PSPower,100,sc3,50,1.0,0.006165011660009441,0.005419184999993831,0.0018137047989283325
PSPower,100,sc4,50,1.0,0.007856694099991728,0.005909459999998035,0.003140032707480213
PSPower,100,sc5,50,1.0,0.006317895780009622,0.005666711999992913,0.0017728888283116036
PSPower,100,sc6,50,1.0,0.00908368180000707,0.006657631000052788,0.004899971657092035
