method,n_concurrent,scenario,bias,abs_bias,rmse,coverage,mean_interval_width
Concurrent OLS,100,SC1,-0.006163391281231072,0.006163391281231072,0.13391306251178178,0.94,0.5381694663604479
NPE-beta1,100,SC1,0.0021368664503097533,0.0021368664503097533,0.08199797576173116,1.0,0.44171546555757524
Concurrent OLS,100,SC2,0.002534721274761096,0.002534721274761096,0.13566275806094452,0.92,0.5421240216286827
NPE-beta1,100,SC2,0.016349936127662657,0.016349936127662657,0.06396390908431888,1.0,0.45919095606803884
Concurrent OLS,100,SC3,-0.0019015223851788043,0.0019015223851788043,0.1415917193846142,0.94,0.5302453773691868
NPE-beta1,100,SC3,0.003509787321090698,0.003509787321090698,0.06943562160652468,0.98,0.43350278401374814
Concurrent OLS,100,SC4,0.0023960654159620454,0.0023960654159620454,0.12659107132726885,0.94,0.5229098647833326
NPE-beta1,100,SC4,0.021210966110229493,0.021210966110229493,0.08054093373653205,0.98,0.4510943811535835
Concurrent OLS,100,SC5,-0.013529307803030735,0.013529307803030735,0.15685572519629495,0.92,0.5320284062841754
NPE-beta1,100,SC5,-0.012695911526679992,0.012695911526679992,0.07944811415019257,1.0,0.4199468306422234
Concurrent OLS,100,SC6,0.003827162348372988,0.003827162348372988,0.15079606623141825,0.94,0.547889485786621
NPE-beta1,100,SC6,-0.010562960505485535,0.010562960505485535,0.07325446690489365,0.98,0.42219461923837653
