Nc,scenario,rep,method,theta_hat,ci_low,ci_high,theta_true
50,sc1,0,PSPower,0.14073824176953212,-0.06076035655429915,0.3422368400933634,0.0
50,sc1,0,IW,0.13889265345936003,-0.11954278750501546,0.3973280944237355,0.0
50,sc1,0,Commensurate,0.12457140979200923,-0.07378090678192863,0.32094547279712915,0.0
50,sc1,0,NPE,0.3065952658653259,-0.2559519964424607,0.8540219992328608,0.0
50,sc1,1,PSPower,-0.21503951084762324,-0.4351787641298459,0.005099742434599458,0.0
50,sc1,1,IW,-0.11249286852079955,-0.41816119048384076,0.19317545344224168,0.0
50,sc1,1,Commensurate,-0.18793259335619547,-0.3999264889789471,0.01749136015214634,0.0
50,sc1,1,NPE,0.34887200593948364,-0.21788162875496533,0.9121932750670072,0.0
50,sc1,2,PSPower,-0.03705523062757611,-0.27629389366233464,0.20218343240718245,0.0
50,sc1,2,IW,0.025833469251654025,-0.2829819724313851,0.3346489109346932,0.0
50,sc1,2,Commensurate,-0.0021010331877577984,-0.21445630040541414,0.2129992691429578,0.0
50,sc1,2,NPE,0.5482417345046997,-0.07210932260875286,1.160402804972901,0.0
50,sc1,3,PSPower,0.13013133121288686,-0.06463600536097905,0.3248986677867528,0.0
50,sc1,3,IW,0.16874962509337302,-0.0924075211502012,0.4299067713369472,0.0
50,sc1,3,Commensurate,0.1214634559447037,-0.08983155672536193,0.32898045793732605,0.0
50,sc1,3,NPE,0.17559626698493958,-0.33629018310125414,0.6897112074665169,0.0
50,sc1,4,PSPower,0.21879326451690936,-0.005226178853171087,0.4428127078869898,0.0
50,sc1,4,IW,0.16015249951095129,-0.13419281736159233,0.4544978163834949,0.0
50,sc1,4,Commensurate,0.23316234716584774,0.019178937002228835,0.4461111448552028,0.0
50,sc1,4,NPE,0.22922702133655548,-0.23828487149596575,0.7211937520639534,0.0
50,sc1,5,PSPower,0.056278641350414015,-0.16705345377837322,0.27961073647920126,0.0
50,sc1,5,IW,0.1195241347467179,-0.1778473262894964,0.4168955957829322,0.0
50,sc1,5,Commensurate,0.07128016204353609,-0.1474321448231795,0.30006821573762976,0.0
50,sc1,5,NPE,0.5007944703102112,0.029207159174145614,0.9933393952645205,0.0
50,sc1,6,PSPower,0.03391603905847606,-0.12673127146161753,0.19456334957856966,0.0
50,sc1,6,IW,-0.03059298187870904,-0.2541120046652344,0.19292604090781637,0.0
50,sc1,6,Commensurate,0.02504657701635214,-0.16443265373017188,0.21148442174786847,0.0
50,sc1,6,NPE,0.21470776200294495,-0.2924234438800839,0.7310674860640011,0.0
50,sc1,7,PSPower,0.12530639841465227,-0.12884329304712247,0.379456089876427,0.0
50,sc1,7,IW,0.13863093395970708,-0.20856893645797533,0.48583080437738946,0.0
50,sc1,7,Commensurate,0.08639504619011446,-0.1447768903073872,0.29837704608503984,0.0
50,sc1,7,NPE,0.5671428442001343,-0.019635847614144004,1.1240492181644821,0.0
50,sc1,8,PSPower,0.07976625385632302,-0.16714839534043066,0.32668090305307673,0.0
50,sc1,8,IW,0.02958618555501234,-0.28541669475541254,0.34458906586543725,0.0
50,sc1,8,Commensurate,0.08256300174183516,-0.13017313268030137,0.2927594570374192,0.0
50,sc1,8,NPE,0.2709154784679413,-0.3111759834083577,0.8444749472504529,0.0
50,sc1,9,PSPower,0.08256922547344894,-0.13511686985711366,0.3002553208040115,0.0
50,sc1,9,IW,0.05355111650546459,-0.25434638458740405,0.3614486175983332,0.0
50,sc1,9,Commensurate,0.05636398581700762,-0.15883107820576187,0.2617003175136487,0.0
50,sc1,9,NPE,0.414584219455719,-0.1147933397217829,0.9416062520122247,0.0
50,sc1,10,PSPower,-0.1294197424071024,-0.3837487816960637,0.12490929688185887,0.0
50,sc1,10,IW,-0.15443881796610323,-0.462460788558682,0.15358315262647557,0.0
50,sc1,10,Commensurate,-0.08896145325120795,-0.3044924539466483,0.1321037235950256,0.0
50,sc1,10,NPE,0.04711245000362396,-0.5265494228577623,0.6057446057895675,0.0
50,sc1,11,PSPower,0.12213411925144604,-0.06290405625256781,0.30717229475545993,0.0
50,sc1,11,IW,0.07697159780121343,-0.17059102908019935,0.3245342246826262,0.0
50,sc1,11,Commensurate,0.11876141322362946,-0.06981171516282039,0.31260853300146874,0.0
50,sc1,11,NPE,0.16323891282081604,-0.41097224696025814,0.7243070394870464,0.0
50,sc1,12,PSPower,0.14538881278863522,-0.06411753291677347,0.3548951584940439,0.0
50,sc1,12,IW,0.14208735768011582,-0.13839378869307672,0.42256850405330837,0.0
50,sc1,12,Commensurate,0.12436648114679347,-0.08422968327152022,0.3292225887605952,0.0
50,sc1,12,NPE,0.5235891938209534,0.0346689400803327,1.0069398183013958,0.0
50,sc1,13,PSPower,0.06842511221519429,-0.14429066987224953,0.2811408943026381,0.0
50,sc1,13,IW,0.11115055108462185,-0.17328803222796257,0.3955891343972063,0.0
50,sc1,13,Commensurate,0.0400504713244343,-0.15239953037355222,0.23911019821683024,0.0
50,sc1,13,NPE,0.39580750465393066,-0.25703418751696394,1.0476243270593424,0.0
50,sc1,14,PSPower,0.032417407549062485,-0.19311395449655722,0.25794876959468216,0.0
50,sc1,14,IW,0.017021900886020687,-0.2928356649577888,0.32687946672983015,0.0
50,sc1,14,Commensurate,0.030718516512923302,-0.18485887724643324,0.24737252205735646,0.0
50,sc1,14,NPE,0.17913149297237396,-0.35047482963056203,0.6867610886716184,0.0
50,sc1,15,PSPower,0.09327394700766886,-0.1176617912117506,0.30420968522708836,0.0
50,sc1,15,IW,0.08158820950890107,-0.17851419605311325,0.34169061507091536,0.0
50,sc1,15,Commensurate,0.1159364679453658,-0.0701864879551624,0.29812437492442834,0.0
50,sc1,15,NPE,-0.01498652994632721,-0.5873308150458832,0.5545545829426712,0.0
50,sc1,16,PSPower,-0.004248401232225266,-0.17149244697354732,0.16299564450909682,0.0
50,sc1,16,IW,-0.1592361639104084,-0.39023563991313115,0.07176331209231432,0.0
50,sc1,16,Commensurate,-0.025231556208463072,-0.1995903115210869,0.15352640148300062,0.0
50,sc1,16,NPE,0.013392940163612366,-0.6038009944524002,0.6081016368465366,0.0
50,sc1,17,PSPower,0.22746851322445208,0.05919435344332907,0.3957426730055751,0.0
50,sc1,17,IW,0.278302592117049,0.05500197351548483,0.5016032107186131,0.0
50,sc1,17,Commensurate,0.21757429807237358,0.032345189485662194,0.40396091856572475,0.0
50,sc1,17,NPE,0.7727888226509094,0.2628528427035048,1.272441298381867,0.0
50,sc1,18,PSPower,0.12311206750502389,-0.0754066411136695,0.32163077612371727,0.0
50,sc1,18,IW,0.16646266401055465,-0.106457261376803,0.4393825893979123,0.0
50,sc1,18,Commensurate,0.11084992150656198,-0.09884917143031682,0.3136343386050225,0.0
