Nc,scenario,method,Bias,RMSE,Coverage,RejectNull,Power,TypeIError,n_valid
50,sc1,Commensurate,0.0187,0.1235,0.9,0.1,,0.1,50
50,sc1,IW,0.0373,0.1311,0.94,0.06,,0.06,50
50,sc1,NPE,0.3172,0.3811,0.9,0.1,,0.1,50
50,sc1,PSPower,0.0187,0.1269,0.9,0.1,,0.1,50
50,sc2,Commensurate,-0.0152,0.1463,0.94,0.06,,0.06,50
50,sc2,IW,-0.0212,0.1503,0.98,0.02,,0.02,50
50,sc2,NPE,0.2954,0.3703,0.9,0.1,,0.1,50
50,sc2,PSPower,-0.0117,0.1485,0.94,0.06,,0.06,50
50,sc3,Commensurate,1.1022,1.1096,0.0,1.0,,1.0,50
50,sc3,IW,0.9314,0.9377,0.0,1.0,,1.0,50
50,sc3,NPE,0.3333,0.4062,0.92,0.08,,0.08,50
50,sc3,PSPower,1.1659,1.1698,0.0,1.0,,1.0,50
50,sc4,Commensurate,0.0355,0.1632,0.94,0.06,,0.06,50
50,sc4,IW,0.0406,0.17,0.98,0.02,,0.02,50
50,sc4,NPE,0.3495,0.4082,0.86,0.14,,0.14,50
50,sc4,PSPower,0.0441,0.1582,0.96,0.04,,0.04,50
50,sc5,Commensurate,1.1404,1.1493,0.0,1.0,,1.0,50
50,sc5,IW,0.9817,0.9923,0.0,1.0,,1.0,50
50,sc5,NPE,0.4052,0.4649,0.84,0.16,,0.16,50
50,sc5,PSPower,1.1941,1.1997,0.0,1.0,,1.0,50
50,sc6,Commensurate,0.4774,0.5114,0.18,0.82,,0.82,50
50,sc6,IW,0.2533,0.3176,0.68,0.32,,0.32,50
50,sc6,NPE,0.2874,0.3508,0.92,0.08,,0.08,50
50,sc6,PSPower,0.5626,0.5952,0.08,0.92,,0.92,50
100,sc1,Commensurate,0.0187,0.1059,0.92,0.08,,0.08,50
100,sc1,IW,0.0245,0.1206,0.98,0.02,,0.02,50
100,sc1,NPE,0.2542,0.3022,0.92,0.08,,0.08,50
100,sc1,PSPower,0.0182,0.1063,0.94,0.06,,0.06,50
100,sc2,Commensurate,0.0087,0.1195,0.94,0.06,,0.06,50
100,sc2,IW,0.0052,0.1422,0.94,0.06,,0.06,50
100,sc2,NPE,0.3132,0.369,0.92,0.08,,0.08,50
100,sc2,PSPower,0.0039,0.1262,0.94,0.06,,0.06,50
100,sc3,Commensurate,0.8593,0.8721,0.0,1.0,,1.0,50
100,sc3,IW,0.6603,0.6707,0.0,1.0,,1.0,50
100,sc3,NPE,0.3574,0.3776,0.98,0.02,,0.02,50
100,sc3,PSPower,0.9591,0.9655,0.0,1.0,,1.0,50
100,sc4,Commensurate,0.0053,0.1497,0.9,0.1,,0.1,50
100,sc4,IW,0.0021,0.1551,0.92,0.08,,0.08,50
100,sc4,NPE,0.2651,0.3219,0.98,0.02,,0.02,50
100,sc4,PSPower,0.0132,0.1576,0.86,0.14,,0.14,50
100,sc5,Commensurate,0.8571,0.8716,0.0,1.0,,1.0,50
100,sc5,IW,0.6563,0.6687,0.0,1.0,,1.0,50
100,sc5,NPE,0.3322,0.3523,0.96,0.04,,0.04,50
100,sc5,PSPower,0.9551,0.9601,0.0,1.0,,1.0,50
100,sc6,Commensurate,0.2082,0.2638,0.54,0.46,,0.46,50
100,sc6,IW,0.0741,0.1675,0.92,0.08,,0.08,50
100,sc6,NPE,0.2651,0.3115,0.94,0.06,,0.06,50
100,sc6,PSPower,0.3229,0.3601,0.32,0.68,,0.68,50
