Nc,scenario,rep,method,theta_hat,ci_low,ci_high,theta_true
50,sc1,0,PSPower,1.1403154836986618,0.9388168853748304,1.341814082022493,1.0
50,sc1,0,IW,1.138197225750629,0.8797617847862536,1.3966326667150044,1.0
50,sc1,0,Commensurate,1.1241683794003416,0.9257855660919723,1.3205677948615673,1.0
50,sc1,0,NPE,1.2886533737182617,0.6250377103589138,1.9344319227312254,1.0
50,sc1,1,PSPower,0.7844558942873686,0.5643166410051459,1.0045951475695913,1.0
50,sc1,1,IW,0.8865342751375583,0.5808659531745172,1.1922025971005996,1.0
50,sc1,1,Commensurate,0.811622575661097,0.5996326264161455,1.017058858836885,1.0
50,sc1,1,NPE,1.3072954416275024,0.6216190601544154,1.9888192392303667,1.0
50,sc1,2,PSPower,0.9623488183323347,0.723110155297576,1.2015874813670933,1.0
50,sc1,2,IW,1.024840476987789,0.7160250353047499,1.3336559186708281,1.0
50,sc1,2,Commensurate,0.9974025278466184,0.7850312884458407,1.2125037194085166,1.0
50,sc1,2,NPE,1.4534319639205933,0.8288005305481239,2.0698169003477225,1.0
50,sc1,3,PSPower,1.129736346671063,0.9349690100971971,1.324503683244929,1.0
50,sc1,3,IW,1.1680394725003478,0.9068823262567736,1.429196618743922,1.0
50,sc1,3,Commensurate,1.1210164738248118,0.909702926115013,1.3285490345055302,1.0
50,sc1,3,NPE,1.411058783531189,0.7401177815005493,2.084920717691684,1.0
50,sc1,4,PSPower,1.2182707248354492,0.9942512814653688,1.4422901682055296,1.0
50,sc1,4,IW,1.159250384084416,0.8649050672118723,1.4535957009569596,1.0
50,sc1,4,Commensurate,1.2326847266159306,1.0187014898512754,1.44558804998694,1.0
50,sc1,4,NPE,1.0662251710891724,0.5695342382560511,1.58889725313477,1.0
50,sc1,5,PSPower,1.0557593033171488,0.8324272081883616,1.279091398445936,1.0
50,sc1,5,IW,1.1186033747942103,0.821231913757996,1.4159748358304247,1.0
50,sc1,5,Commensurate,1.0707563843805046,0.8520274432236338,1.299524709050346,1.0
50,sc1,5,NPE,1.3449828624725342,0.7926834532731379,1.9218267779737668,1.0
50,sc1,6,PSPower,1.0336473222906943,0.8730000117706007,1.194294632810788,1.0
50,sc1,6,IW,0.9688868103584046,0.7453677875718792,1.19240583314493,1.0
50,sc1,6,Commensurate,1.024688946320362,0.8351750758961941,1.2110869913046822,1.0
50,sc1,6,NPE,1.1803780794143677,0.5867826313592558,1.7847754783634942,1.0
50,sc1,7,PSPower,1.124633844627993,0.8704841531662184,1.3787835360897678,1.0
50,sc1,7,IW,1.1373757512231508,0.7901758808054684,1.4845756216408332,1.0
50,sc1,7,Commensurate,1.0858885351831764,0.8547071872917636,1.297878053865821,1.0
50,sc1,7,NPE,1.6600018739700317,1.000538323067051,2.285892793354803,1.0
50,sc1,8,PSPower,1.0791314470676119,0.8322167978708582,1.3260460962643656,1.0
50,sc1,8,IW,1.0285530033954522,0.7135501230850273,1.3435558837058772,1.0
50,sc1,8,Commensurate,1.082072096918219,0.8693434703720535,1.2922771928286747,1.0
50,sc1,8,NPE,1.059490442276001,0.4594540473223507,1.6507318166649045,1.0
50,sc1,9,PSPower,1.0820758140188451,0.8643897186882825,1.2997619093494077,1.0
50,sc1,9,IW,1.0525640187214256,0.7446665176285568,1.3604615198142942,1.0
50,sc1,9,Commensurate,1.055895823637327,0.8407078857399958,1.2612537352336273,1.0
50,sc1,9,NPE,1.4283394813537598,0.808103776884105,2.0458153753859634,1.0
50,sc1,10,PSPower,0.8699067542586031,0.6155777149696418,1.1242357935475644,1.0
50,sc1,10,IW,0.8445732860075795,0.5365513154150008,1.1525952566001583,1.0
50,sc1,10,Commensurate,0.9105569673297775,0.6950008905662453,1.131636704540516,1.0
50,sc1,10,NPE,1.2020683288574219,0.4790229441662093,1.9061702067919297,1.0
50,sc1,11,PSPower,1.1217776102302692,0.9367394347262554,1.306815785734283,1.0
50,sc1,11,IW,1.0763334547959218,0.8287708279145091,1.3238960816773346,1.0
50,sc1,11,Commensurate,1.1183675220986842,0.9297805752660132,1.3121917041428597,1.0
50,sc1,11,NPE,1.1084195375442505,0.4632747990906604,1.7387976548395274,1.0
50,sc1,12,PSPower,1.1449317854157612,0.9354254397103525,1.35443813112117,1.0
50,sc1,12,IW,1.1412682232208196,0.860787076847627,1.421749369594012,1.0
50,sc1,12,Commensurate,1.1239260519088536,0.9153229091050116,1.328728171960489,1.0
50,sc1,12,NPE,1.4057247638702393,0.908517034298728,1.8972684558040758,1.0
50,sc1,13,PSPower,1.067953975147836,0.8552381930603922,1.2806697572352799,1.0
50,sc1,13,IW,1.1103081384682432,0.8258695551556586,1.3947467217808276,1.0
50,sc1,13,Commensurate,1.0396653658711215,0.8472333484124882,1.2386340892570338,1.0
50,sc1,13,NPE,1.2239768505096436,0.5773207560833264,1.8696177856901732,1.0
50,sc1,14,PSPower,1.0318877907720325,0.8063564287264129,1.2574191528176522,1.0
50,sc1,14,IW,1.0160221954392195,0.70616462959541,1.3258797612830289,1.0
50,sc1,14,Commensurate,1.030218512204765,0.8146622411860537,1.24686564982235,1.0
50,sc1,14,NPE,1.1467827558517456,0.5089144870818372,1.7581818226030883,1.0
50,sc1,15,PSPower,1.0928106620674474,0.8818749238480279,1.3037464002868668,1.0
50,sc1,15,IW,1.0808837815478545,0.8207813759858402,1.3409861871098687,1.0
50,sc1,15,Commensurate,1.1155455450690295,0.9294596899153391,1.297702257071227,1.0
50,sc1,15,NPE,0.9230227470397949,0.32960001357301266,1.5135390723203266,1.0
50,sc1,16,PSPower,0.9954603600043814,0.8282163142630594,1.1627044057457034,1.0
50,sc1,16,IW,0.8402082263653782,0.6092087503626554,1.0712077023681008,1.0
