Nc,scenario,method,Bias,RMSE,Coverage,RejectNull,Power,TypeIError,n_valid
50,sc1,Commensurate,0.0183,0.1234,0.9,1.0,1.0,,50
50,sc1,IW,0.0365,0.1309,0.94,1.0,1.0,,50
50,sc1,NPE,0.2201,0.3049,0.94,1.0,1.0,,50
50,sc1,PSPower,0.0183,0.1268,0.9,1.0,1.0,,50
50,sc2,Commensurate,-0.016,0.1464,0.94,1.0,1.0,,50
50,sc2,IW,-0.0223,0.1505,0.98,1.0,1.0,,50
50,sc2,NPE,0.2202,0.3219,0.92,1.0,1.0,,50
50,sc2,PSPower,-0.0126,0.1485,0.94,1.0,1.0,,50
50,sc3,Commensurate,1.1016,1.1091,0.0,1.0,1.0,,50
50,sc3,IW,0.9306,0.9369,0.0,1.0,1.0,,50
50,sc3,NPE,0.1889,0.2859,0.98,1.0,1.0,,50
50,sc3,PSPower,1.1655,1.1693,0.0,1.0,1.0,,50
50,sc4,Commensurate,0.0347,0.163,0.94,1.0,1.0,,50
50,sc4,IW,0.0394,0.1697,0.98,1.0,1.0,,50
50,sc4,NPE,0.2661,0.357,0.92,1.0,1.0,,50
50,sc4,PSPower,0.0432,0.1579,0.94,1.0,1.0,,50
50,sc5,Commensurate,1.1399,1.1488,0.0,1.0,1.0,,50
50,sc5,IW,0.981,0.9915,0.0,1.0,1.0,,50
50,sc5,NPE,0.2298,0.3115,0.94,1.0,1.0,,50
50,sc5,PSPower,1.1936,1.1993,0.0,1.0,1.0,,50
50,sc6,Commensurate,0.4765,0.5107,0.16,1.0,1.0,,50
50,sc6,IW,0.2521,0.3167,0.68,1.0,1.0,,50
50,sc6,NPE,0.1311,0.2523,0.98,1.0,1.0,,50
50,sc6,PSPower,0.5617,0.5943,0.08,1.0,1.0,,50
100,sc1,Commensurate,0.0183,0.1058,0.92,1.0,1.0,,50
100,sc1,IW,0.0238,0.1205,0.98,1.0,1.0,,50
100,sc1,NPE,0.1413,0.227,0.98,1.0,1.0,,50
100,sc1,PSPower,0.0178,0.1063,0.94,1.0,1.0,,50
100,sc2,Commensurate,0.0081,0.1195,0.94,1.0,1.0,,50
100,sc2,IW,0.0044,0.1422,0.94,1.0,1.0,,50
100,sc2,NPE,0.161,0.2532,0.98,1.0,1.0,,50
100,sc2,PSPower,0.0032,0.1261,0.94,1.0,1.0,,50
100,sc3,Commensurate,0.8586,0.8714,0.0,1.0,1.0,,50
100,sc3,IW,0.6597,0.6701,0.0,1.0,1.0,,50
100,sc3,NPE,0.1518,0.2089,1.0,1.0,1.0,,50
100,sc3,PSPower,0.9587,0.9651,0.0,1.0,1.0,,50
100,sc4,Commensurate,0.0047,0.1497,0.9,1.0,1.0,,50
100,sc4,IW,0.0013,0.1552,0.9,1.0,1.0,,50
100,sc4,NPE,0.1312,0.2352,1.0,1.0,1.0,,50
100,sc4,PSPower,0.0125,0.1576,0.86,1.0,1.0,,50
100,sc5,Commensurate,0.8564,0.871,0.0,1.0,1.0,,50
100,sc5,IW,0.6557,0.6681,0.0,1.0,1.0,,50
100,sc5,NPE,0.1299,0.1998,1.0,1.0,1.0,,50
100,sc5,PSPower,0.9547,0.9597,0.0,1.0,1.0,,50
100,sc6,Commensurate,0.2075,0.2633,0.54,1.0,1.0,,50
100,sc6,IW,0.0733,0.1672,0.92,1.0,1.0,,50
100,sc6,NPE,0.0668,0.1835,0.98,1.0,1.0,,50
100,sc6,PSPower,0.3222,0.3595,0.32,1.0,1.0,,50
